osm_edge_id,physical_edge_id,directed_edge_count,road_name,road_class,length_m,length_m_for_density,traffic_lanes_estimated,traffic_lanes_source,traffic_speed_estimated_kmh,traffic_speed_estimate_source,traffic_speed_08_09_kmh,traffic_speed_daily_avg_kmh,traffic_speed_used_kmh,traffic_speed_source,traffic_lanes_avg,traffic_lanes_max,topis_link_count,topis_record_count,estimated_traffic_volume,inverse_speed_risk,crosswalk_count,crosswalk_weight,traffic_signal_count,traffic_signal_weight,nearest_crosswalk_distance_m,nearest_signal_distance_m,crosswalk_count_per_100m,traffic_signal_count_per_100m,child_facility_count_300m,child_facility_count_300m_capped,road_6lane_or_traffic_weight,child_facility_weight,final_local_method_weight,pedestrian_accident_hybrid_weight,local_method_risk_index,local_method_safety_index,local_method_risk_decile,geometry_wkt
2824731170_2824759940_0,2824731170_2824759940_0,2,국회단지4길,service,10.117187252119917,20.0,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.941987 37.487072, 126.942095 37.487102)"
2824731173_4619615299_0,2824731173_4619615299_0,2,은천로5길,service,48.85072297761543,48.85072297761543,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.938054 37.487317, 126.937958 37.486884)"
2824731174_4619635986_0,2824731174_4619635986_0,2,국회단지6길,service,44.21597182765884,44.21597182765884,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.941715 37.488309, 126.941592 37.487924)"
2824731175_2824731182_0,2824731175_2824731182_0,1,국회단지2길,service,41.59666217406484,41.59666217406484,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.940723 37.486694, 126.941193 37.486663)"
2824731175_2824732160_0,2824731175_2824732160_0,2,은천로9길,service,61.486332930339266,61.486332930339266,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,1,1.0,0,0.0,0.613,0.0,1.6263776880838652,0.0,4.0,4.0,1.0,1.019,1.019,0.0,1.3579427516401705,-1.3579427516401705,9,"LINESTRING (126.940723 37.486694, 126.940676 37.486142)"
2824731175_2824732174_0,2824731175_2824732174_0,2,은천로9길,service,21.23083427167723,21.23083427167723,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.940723 37.486694, 126.940739 37.486885)"
2824731178_2824731183_0,2824731178_2824731183_0,2,국회단지길,tertiary,19.733200345754092,20.0,2.0,road_class_default,19.0,road_class_default,,,,,,,,,260.0,0.05263157894736842,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.9809999999999999,1.019,2.018639,1.0,-0.8338966783781916,0.8338966783781916,8,"LINESTRING (126.940184 37.487754, 126.940333 37.487887)"
2824731178_8481626226_0,2824731178_8481626226_0,2,국회단지길,tertiary,105.18003588526119,105.18003588526119,2.0,road_class_default,19.0,road_class_default,,,,,,,,,260.0,0.05263157894736842,1,1.0,0,0.0,0.55,0.0,0.9507507689870729,0.0,3.0,3.0,1.9809999999999999,1.019,2.018639,0.0,3.2406539015437303,-3.2406539015437303,9,"LINESTRING (126.940184 37.487754, 126.940086 37.487673, 126.939541 37.48696)"
2824731179_2824731182_0,2824731179_2824731182_0,1,국회단지2길,service,65.40581927486959,65.40581927486959,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.941193 37.486663, 126.941931 37.486614)"
2824731186_4619615299_0,2824731186_4619615299_0,1,봉천로23나길,service,15.40005764152491,20.0,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.019,1.019,0.0,-1.3321831060331903,1.3321831060331903,2,"LINESTRING (126.937958 37.486884, 126.938131 37.486868)"
