walk_edge_id,source_u,source_v,length_m,walking_type,crosswalk,overpass,bridge,tunnel,building,park_green,emd_nm,edge_safety_basis,case_A_subtype,matched_road_id,matched_road_risk_index,matched_road_risk_pct,safety_score_0_1,geometry_wkt,case_A_reference_distance_m,case_A_reference_overlap_ratio,case_A_reference_angle_diff_deg,nearest_road_distance_m,distance_discount_factor,case_D_distance_m,crossing_mapping_strategy,crosswalk_midpoint_road_id,crosswalk_midpoint_road_distance_m,walking_risk_score_0_1
139310,120064.0,120082.0,35.018,1000,0,0,0,0,1,0,봉천동,case_D_crossing,,1834821182_5744680270_0,16.898195632185505,0.9864572047670639,0.9864572047670639,"LINESTRING (126.9521599193248 37.47890937229396, 126.95255299962844 37.47887172540773)",,,,,,5.2979253094504974,max_risk_intersecting_or_within_8m,,,0.9864572047670639
137595,38610.0,38611.0,22.256,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,1793919659_1795169761_0,4.307703343063141,0.8903033586132177,0.8903033586132177,"LINESTRING (126.92863089605294 37.48755065396783, 126.92839162209987 37.487488527354685)",,,,,,,,,,0.8903033586132177
137603,115412.0,115413.0,132.062,1111,0,0,0,0,0,0,봉천동,case_A_separated,1111_parallel_separated,5406469978_5406469993_0,8.37456689134162,0.9389219934994583,0.0,"LINESTRING (126.96720756354031 37.47551493286696, 126.96797971288714 37.475292730998774, 126.96864279367733 37.47520549835546)",3.063509442823405,0.9996290741720331,16.97288845905112,,,,,,,0.0
138145,20525.0,215468.0,10.582,1000,0,0,0,0,0,0,신림동,case_A_separated,walking_type_only,,,,0.0,"LINESTRING (126.93363064208114 37.47393819409036, 126.9336548901526 37.473844830322534)",,,,,,,,,,0.0
138744,114544.0,114545.0,10.286,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,1915358626_1915358667_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.93778700432509 37.48272167417688, 126.93788468765075 37.48267137720941)",,,,2.0309085729240093,1.0,,,,,0.13326110509209102
138748,18559.0,18552.0,38.633,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,4619539823_4619539829_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.95979968991023 37.4904614904912, 126.95979351979028 37.49080954008062)",,,,,,,,,,0.48733748645720476
138177,116885.0,116997.0,17.836,1111,0,0,0,0,0,0,남현동,case_B_shared_road,,2254642401_2254642487_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.97646220813407 37.47524704676966, 126.97626280397124 37.47522316765941)",,,,,,,,,,0.48733748645720476
138192,113546.0,115086.0,7.13,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2824695043_4371037072_0,-1.3093860703647082,0.25663596966413865,0.25663596966413865,"LINESTRING (126.93085546205843 37.471393369786824, 126.93093534557681 37.471401906575124)",,,,,,,,,,0.25663596966413865
138776,114214.0,114215.0,27.361,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2824696255_4370587827_0,-0.9282886295848564,0.48733748645720476,0.4780663003055406,"LINESTRING (126.93154575799129 37.47414755264945, 126.93174096899607 37.47420259114377, 126.93182132489048 37.4742529859695)",,,,5.760966386482016,0.9809758403379496,,,,,0.4780663003055406
138832,116603.0,116596.0,99.262,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1845153579_5298584989_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.94334926193633 37.475439064054676, 126.94268517220891 37.47550072575869, 126.94238584514726 37.475772347247556)",,,,,,,,,,0.48733748645720476
139424,116580.0,116581.0,27.97,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1845242210_1845242238_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.94243765133199 37.481349377616596, 126.94275 37.48130999999999)",,,,,,,,,,0.13326110509209102
139432,68169.0,68156.0,14.53,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,2824756182_2824756464_0,2.075911252239331,0.8588840736728061,0.8588840736728061,"LINESTRING (126.95989021836883 37.48901210030641, 126.95998002858614 37.48890247061004)",,,,,,,,,,0.8588840736728061
139470,116574.0,116524.0,13.067,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1834138938_1845242214_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.94175681270661 37.48118569021025, 126.94177751420023 37.48106912030195)",,,,,,,,,,0.48733748645720476
138266,18379.0,18384.0,45.431,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,2824756487_2824756538_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.96437929271802 37.478053863667526, 126.96457353075685 37.47843280425247)",,,,,,,,,,0.13326110509209102
138864,121068.0,73011.0,11.788,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,2824735215_2824735225_0,3.239204479726974,0.8744582881906826,0.8744582881906826,"LINESTRING (126.94717461308852 37.486977560921275, 126.94730625706477 37.48696093228869)",,,,4.269266683119238,1.0,,,,,0.8744582881906826
138875,68015.0,68016.0,42.159,1111,0,0,0,0,0,0,봉천동,case_A_separated,1111_named_local_parallel_separated,5406462566_8483289496_0,2.9324925657863075,0.8721560130010835,0.0,"LINESTRING (126.95973759437574 37.47794828229795, 126.95990496100991 37.478220106176444, 126.95996645490612 37.47827959089272)",16.000195251864547,0.7047024132201822,3.15498994020178,,,,,,,0.0
138876,96136.0,96139.0,42.353,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,1844709010_2045931986_0,-0.3974691265088891,0.7388949079089924,0.7388949079089924,"LINESTRING (126.93735618109619 37.47744588382263, 126.93769943093292 37.47751285880653, 126.93773381054801 37.4776089966135)",,,,,,,,,,0.7388949079089924
137722,39134.0,39138.0,18.18,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,4370532672_4370532673_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.92904189560058 37.47987811431763, 126.92914829714677 37.48001826413458)",,,,,,,,,,0.13326110509209102
137728,90172.0,90174.0,12.73,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,2045931972_2045932006_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.93389619088417 37.47889995039234, 126.93402249592549 37.478954946508175)",,,,,,,,,,0.13326110509209102
137744,67405.0,67399.0,32.366,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,13700931868_4626297036_0,14.02033618305885,0.9748104008667389,0.0,"LINESTRING (126.91458089337999 37.48234840565942, 126.91468028959886 37.482067747228754)",9.788934217630924,0.9996378410886724,7.288473799497751,,,,,,,0.0
138281,120943.0,121236.0,49.075,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,10649934701_10649934702_0,1.5472463828712013,0.8319339111592633,0.8319339111592633,"LINESTRING (126.94600714051755 37.48383741358651, 126.94655957414332 37.48379601735426)",,,,,,,,,,0.8319339111592633
138282,120199.0,68241.0,52.482,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,2161099560_2161099604_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.95405922349384 37.48705448084723, 126.9546353855583 37.48694128747526)",,,,0.0,1.0,,,,,0.13326110509209102
138283,83207.0,83189.0,61.548,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,11960804833_2161099584_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.95479071615624 37.48785947651335, 126.9554753174185 37.487759822410844)",,,,,,,,,,0.13326110509209102
113851,113502.0,38811.0,69.007,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,2045982993_436858749_0,10.807038187759618,0.9551733477789816,0.0,"LINESTRING (126.9298311017 37.48160087880001, 126.92977271797965 37.48222089824284)",10.618414671969836,0.9996369132828887,0.4274388541894467,,,,,,,0.0
