LINK_ID,ROAD_NAME,ROAD_RANK,LENGTH,도로코드,보행안전지수,intersection_length_m,accident_count_link
2260132102,가구단지길,107,85.002277720568,529,-2.234039987,5.376608009999157,0
2250265701,고산로211번길,107,11.953520223519,588,-9.493308127,5.3590238338696485,0
2260043403,-,107,178.638053693057,107,23.56754479,5.303158781384963,1
2260032900,고산로,107,58.435143096673,190,17.95635785,5.278329019197872,1
2260128003,이당로,107,340.538819284666,120,11.80611315,5.206825725333386,0
2260016902,전주남이길,107,81.439375517221,31,32.45090336,5.195938718766797,0
2260058200,부곡시장길,107,110.706315274092,366,-10.12740436,5.118568406494113,0
2260032002,고산로,107,192.568306675048,175,10.06113185,5.099274179059408,0
2260044100,초평로,107,49.774723982447,100,-15.93851151,5.078583443076295,0
2260058204,부곡시장길,107,46.599642824271,123,-0.659882514,5.076185492080959,1
2260125201,백운로,107,11.555208856549,504,20.62440114,5.025984645066142,0
2250030900,산본로77번길,107,292.101250936959,190,17.95635785,4.995334456786284,0
2090174800,포도원로,107,90.916836735825,150,12.91737263,4.944088268474144,0
2090012505,안양판교로,105,12.060201397101,567,2.529185797,4.897231767322452,0
2260017202,효행로,107,54.274732498282,11,10.20243032,4.838183163415473,0
2260040400,왕곡로,107,100.53972932183,2185,0.740771058,4.822258152053029,0
2260062002,오봉로,107,141.921522168935,220,7.338703001,4.800708055229287,2
2260044800,철도박물관로,107,55.563675544274,2127,-4.725232653,4.769378868103055,1
2260004500,과천의왕간고속도로,106,79.831446339457,2399,-10.13219359,4.762921084460064,0
2260044801,철도박물관로,107,4.721977601522,2127,-4.725232653,4.72197760152179,0
2090054700,흥안대로456번길,107,72.742449087274,240,15.41291766,4.647708381403245,0
2260033104,효행로,107,68.528426546888,29,29.75644839,4.545043187317564,0
2260153604,-,107,30.93392529194,272,9.229603947,4.529183782885531,0
2260142701,초평로,107,117.640683663025,152,5.27166999,4.418380903670336,0
2260154100,왕송못서길,107,12.125472795003,76,8.792059836,4.323645478454777,0
2260131902,입북로,107,15.003319337851,527,-11.21087343,4.322021809297241,0
2260045304,왕송못동로,107,17.79084544359,585,4.092530673,4.319408865368755,0
2260048901,갈미1로,107,12.130174746133,2220,-16.44299794,4.290166797433824,0
2260095602,맑은내길,107,12.234412188248,563,-5.234792637,4.254605226773802,0
2260142500,제2경인고속도로,101,264.425962951858,478,-1.186607233,4.223799153728254,0
2260058701,덕영대로,107,4.184816861932,589,-8.334728836,4.184816861931579,0
2260016104,전주남이길,107,87.842985961297,37,-6.78781049,4.131670117855385,0
2260129100,장안로,107,52.43442635068,519,0.015878461,4.110663713250342,0
2260056101,덕영대로,107,4.5358312812,2250,-14.0133771,4.110347930072424,0
2260135502,백운중앙로,107,46.370730353667,382,15.25191243,3.933034111421827,0
2260028401,백운로,107,13.945274931077,2386,-14.26566037,3.930319242968245,0
2260013401,내손순환로,107,11.637860497105,38,25.64201812,3.9201054223405194,0
2260134000,청계3로,107,26.426730489716,327,36.18561811,3.869204776280785,0
2260126801,왕송못동로,107,363.471334017841,354,13.77130356,3.789346960094914,0
2250275002,고래들길,107,19.638722625881,404,5.512421394,3.727036378323464,0
2260010404,안양판교로,105,11.075520136607,2046,-9.924598085,3.699823144404775,0
2260017206,효행로,107,21.276235075238,11,10.20243032,3.685622836669036,0
2260016900,전주남이길,107,42.830941786226,31,32.45090336,3.6771945567470117,0
2260014716,청계로,107,75.391614418539,186,-18.48752578,3.6534608594707527,0
2260123106,윗새우대길,107,18.719952447712,189,14.24879694,3.623451793323396,0
2260151101,갈미1로,107,62.936582760319,549,-11.91346867,3.5940019101315244,1
2260040700,현충탑길,107,60.206397382995,28,54.74189171,3.4833843591871534,0
2260069602,오전공업길,107,174.021348257293,298,15.31205618,3.33509357886767,1
2260106901,-,107,14.173024289309,2373,-6.96247749,3.3198723091582427,0
2260106900,-,107,63.206989551624,2373,-6.96247749,3.3198722997140617,1
2260013204,내손중앙로,107,42.086079747306,40,2.549294507,3.310208641176353,0
2260024500,능애고개길,107,67.704166501428,215,-2.450205522,3.2930906111920653,0
2260053200,부곡중앙남1길,107,53.374486069525,102,-14.09021974,3.2347576099421507,0
2260136305,백운중앙로,107,89.010951738002,548,-7.801725584,3.2312803066117013,0
2260034403,신장승길,107,40.25375131124,305,6.794927148,3.1977124803630814,0
2250087200,산본로55번길,107,64.887806740178,190,17.95635785,3.1822281286113467,0
2260037303,능안길,107,11.989209599366,2172,3.794942863,3.1585628844377736,0
2260053102,백운로,107,30.303141951383,2239,2.574761691,3.1580837931380725,0
2260028503,백운로,107,99.284575569926,2141,-4.395940711,3.130392441246078,0
2260048700,오리나무로,107,75.315702607859,43,-0.110736812,3.0938476588150285,0
2260045500,초평로,107,14.768154683029,136,-14.55415349,3.092394046743179,0
2260069600,오전공업길,107,103.432834003326,298,15.31205618,3.0836524294011576,0
2260025102,부곡중앙로,107,38.124262219381,289,13.21221737,3.0653806437454847,1
2260147901,갈미로,107,92.263336710469,424,4.011843057,3.031789829301805,1
2260034300,부곡중앙남7길,107,66.055886065753,170,4.839483843,3.0288316271537785,0
2260006707,경수대로,103,14.885673519407,2023,-2.709210332,3.002572597762912,0
2260035603,부곡초등길,107,61.121072508733,106,22.32088363,2.993354937555761,0
2260046102,왕송못동로,107,19.872573147904,2214,-9.269475568,2.9764611263035308,0
2260034304,부곡중앙남7길,107,58.355940711273,170,4.839483843,2.971209780240854,0
2260058203,부곡시장길,107,93.6370944252,366,-10.12740436,2.9676061653624632,0
2260146002,모락로,107,11.064697866129,409,-11.08899906,2.9451790069336687,0
2260061104,가나무로,107,118.738208442019,202,-9.654601784,2.943548941793223,0
2260025100,부곡중앙로,107,33.492637650189,289,13.21221737,2.9348182664600877,0
2260035605,부곡초등길,107,18.523584376513,106,22.32088363,2.924761091351943,0
2260048800,갈미1로,107,15.929842955456,43,-0.110736812,2.8995964680827635,0
2260058201,부곡시장길,107,13.127586137245,299,21.57862892,2.8813022065123697,0
2260061105,가나무로,107,351.760740009966,202,-9.654601784,2.87647146931091,0
2090175201,가구단지길,107,12.001499579732,529,-2.234039987,2.8492263824645923,0
2260017205,효행로,107,63.209310290302,11,10.20243032,2.809590718576892,5
2260034402,신장승길,107,76.64467746743,305,6.794927148,2.803141332940177,1
2260053301,철도박물관로,107,36.057600132739,2241,-8.286829154,2.7587262530479904,0
2260013203,내손중앙로,107,84.838589558094,40,2.549294507,2.704273347581614,1
