도로코드,보행안전지수,accident_count,mapped_link_count
439,3.342037442,2,3
440,17.21778671,1,1
441,3.223750445,1,1
442,4.981002094,4,3
443,2.951071779,0,3
444,2.848589408,1,3
445,11.83516023,0,4
446,0.25515893,0,2
447,0.497030001,0,3
448,18.66958785,0,5
449,30.14216221,0,6
450,23.67008483,0,4
451,9.846627886,2,5
452,-2.91745504,1,5
453,-8.569600337,0,1
454,15.7274051,3,3
455,11.11591785,1,2
456,6.989569565,0,5
457,-8.255933571,0,0
458,-8.77499915,3,9
459,13.5054183,0,3
460,-8.28946736,0,3
461,-8.453632141,0,3
462,-5.239544025,1,3
463,-2.725846858,0,2
464,-2.694291757,1,2
465,16.81649193,0,2
466,-1.566330916,1,3
467,-6.572592136,1,2
468,17.36815602,0,6
469,3.92081732,0,4
470,10.0115683,0,2
471,-6.90980156,1,3
472,-14.56834316,0,2
473,-4.443557081,2,3
474,13.81320479,0,4
475,-10.45783435,1,3
476,11.34805534,0,2
477,0.652542772,0,4
478,-1.186607233,0,2
479,31.68170508,0,5
480,4.723580872,0,3
481,-4.070327143,0,2
482,-4.88508692,0,2
483,-2.20256067,0,2
484,-9.223197951,0,1
485,-2.410210068,0,4
486,14.70978329,0,2
487,-1.837784865,4,3
488,11.64943083,0,2
489,26.66638915,0,2
490,6.785750484,0,9
491,27.11576391,0,6
492,44.28409172,0,5
493,9.099320052,3,3
494,-4.48801696,0,2
495,8.024015636,0,7
496,-7.678729941,1,3
497,2.309192681,0,8
498,4.938114718,0,8
499,-10.64285814,0,5
500,-4.05020779,3,11
501,-3.423544498,0,4
502,0.915638393,0,5
503,13.76065099,0,5
504,20.62440114,0,4
505,-14.29924762,1,3
506,-5.392690827,0,6
507,2.219247355,1,4
508,-0.761400414,0,5
509,0.381231178,0,3
510,1.137246001,1,4
511,14.58527477,0,4
512,40.49396246,1,4
513,18.79640939,1,4
514,-1.968600164,0,3
515,3.751440416,0,7
516,10.37736764,0,6
517,12.52343978,0,3
518,0.793735765,0,2
519,0.015878461,0,3
520,-9.268474665,0,3
521,-3.563817771,0,4
522,1.169244439,0,7
523,-3.531150401,0,3
524,1.101778907,0,2
525,-10.22163737,0,6
526,-3.881703216,0,5
527,-11.21087343,0,7
528,1.649487241,0,1
529,-2.234039987,0,7
530,19.2781607,0,4
531,-0.975297508,0,3
532,7.208376335,0,2
